bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/77cbed5ce23e08f96efcd25bb6a63181-p_e.jpg,False,True,False,False,False,False,False,39.647476,{'is_FSBA': True},1824.0,-104.79396,sqft,4791.6,,,,495000.0,,495000.0,,,,False,CO,3854 S Olathe Circle,492000.0,165427000,,80013,13098312
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/24078b6090c4cfb91940af4378b8f38e-p_e.jpg,False,True,False,False,False,False,False,39.687008,{'is_FSBA': True},1730.0,-104.79889,sqft,8886.0,,,,469000.0,,469000.0,,,2761,False,CO,1602 S Lewiston Street,522000.0,76624000,469400,80017,13072303
3.0,3.0,Aurora,,USA,USD,1736323200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dd89af1f4a4f1e07bbc6aa35faeac34b-p_e.jpg,False,True,False,False,False,False,False,39.670094,{'is_FSBA': True},1680.0,-104.7568,sqft,5227.2,,,,450000.0,-10000,450000.0,"$10,000 (Jan 8)",,2594,False,CO,19873 E Vassar Avenue,523500.0,10854992000,450700,80013,13076566
3.0,3.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c80236e8b40891c7aca878bc8b4f9a14-p_e.jpg,False,True,False,False,False,False,False,39.697495,{'is_FSBA': True},2580.0,-104.79894,sqft,8233.0,,,,479500.0,,479500.0,,,,False,CO,1050 S Lewiston Way,544400.0,145619000,,80017,13066005
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d67948e8f8ccca3130c404cc9d2ee89e-p_e.jpg,False,True,False,False,False,False,False,39.631725,"{'is_FSBA': True, 'is_openHouse': True}",1457.0,-104.790794,sqft,3833.0,,2/15 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}]}",498000.0,,498000.0,,,,False,CO,4663 S Buckley Way,458800.0,1015369000,,80015,13106959
3.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc27f5b509067486568e15744942edbc-p_e.jpg,False,True,False,False,False,False,False,39.70297,{'is_FSBA': True},1851.0,-104.840096,acres,0.2679981634527089,,,,450000.0,,450000.0,,,2700,False,CO,12738 E Exposition Drive,536200.0,99121000,449900,80012,13041556
3.0,4.0,Aurora,,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d3e530b40797acb36a442905af6f7285-p_e.jpg,False,True,False,False,False,False,False,39.665737,{'is_FSBA': True},2524.0,-104.84549,sqft,4879.0,,,,499000.0,-6000,499000.0,"$6,000 (Feb 5)",,2778,False,CO,12199 E Amherst Circle,557900.0,7790067000,499500,80014,13058981
3.0,5.0,Aurora,,USA,USD,1738224000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b2c36808eeddd74608690551ba83ae06-p_e.jpg,False,True,False,False,False,False,False,39.670452,{'is_FSBA': True},2656.0,-104.78839,sqft,7536.0,,,,486500.0,-1000,486500.0,"$1,000 (Jan 30)",,3044,False,CO,2515 S Pagosa Street,544700.0,73273571000,,80013,13077970
2.0,3.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f183620a0a51a251bff5e4a3c7e488bf-p_e.jpg,False,True,False,False,False,False,False,39.683475,"{'is_FSBA': True, 'is_openHouse': True}",1413.0,-104.80462,sqft,7797.0,,Sat. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739070000000, 'open_house_start': 1739030400000}, {'open_house_end': 1739156400000, 'open_house_start': 1739116800000}, {'open_house_end': 1739242800000, 'open_house_start': 1739203200000}, {'open_house_end': 1739329200000, 'open_house_start': 1739289600000}, {'open_house_end': 1739415600000, 'open_house_start': 1739376000000}, {'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",457000.0,,457000.0,,,,False,CO,1822 S Joplin Street,451400.0,172312000,,80017,13071370
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dad1d1d885e565246c63edd55d14f13b-p_e.jpg,False,True,False,False,False,False,False,39.686375,{'is_FSBA': True},2206.0,-104.7744,sqft,6098.4,,,,475000.0,,475000.0,,,2710,False,CO,1663 S Yampa Way,531700.0,442974000,475100,80017,13074712
2.0,3.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3faa321d5baca12263bfc4d50d9928f4-p_e.jpg,False,True,False,False,False,False,False,39.701443,{'is_FSBA': True},1192.0,-104.859276,sqft,7840.8,,,,450000.0,,450000.0,,,,False,CO,11002 E Ohio Place,484000.0,101812000,,80012,13043396
2.0,5.0,Aurora,,USA,USD,1736323200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c08e4491d003da65e35aaa2b7b893017-p_e.jpg,False,True,False,False,False,False,False,39.72876,{'is_FSBA': True},2240.0,-104.86395,sqft,7710.0,,,,460000.0,-15000,460000.0,"$15,000 (Jan 8)",,,False,CO,10700 E 8t Avenue,436100.0,6394764000,,80010,13035060
3.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4e3ec28bcea062ad69658a5d442180e7-p_e.jpg,False,True,False,False,False,False,False,39.703964,{'is_FSBA': True},2557.0,-104.85126,sqft,7536.0,,,,499000.0,,499000.0,,,3065,False,CO,695 S Oakland Street,553700.0,1056799000,506600,80012,13043910
2.0,4.0,Aurora,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8dd2950a8e894afb5879442007a42e0d-p_e.jpg,False,True,False,False,False,False,False,39.67903,"{'is_FSBA': True, 'is_openHouse': True}",3007.0,-104.78462,sqft,7579.0,,Sat. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739070000000, 'open_house_start': 1739030400000}, {'open_house_end': 1739156400000, 'open_house_start': 1739116800000}, {'open_house_end': 1739415600000, 'open_house_start': 1739376000000}, {'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",490000.0,,490000.0,,,,False,CO,2077 S Salida Street,552500.0,363489000,,80013,13077708
