bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,4.0,Denver,,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d1b88f226606d2b5f5fed9d87f2576ed-p_e.jpg,False,True,False,False,False,False,False,39.78452,{'is_FSBA': True},2294.0,-104.75609,sqft,3576.0,,,499990.0,-10,499990.0,$10 (Feb 7),,False,CO,20054 E 48th Drive,541800.0,1692345000,,,80249,131679164
2.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/62003b1778bf16e375dc7dd1ad09ae60-p_e.jpg,False,True,False,False,False,False,False,39.740902,{'is_FSBA': True},1355.0,-104.89792,sqft,6098.4,,,500000.0,,500000.0,,2396,False,CO,1535 Spruce Street,511100.0,491989000,,495700,80220,13289938
3.0,4.0,Denver,,USA,USD,1738483200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/92ba5979ae8ca87bd190d383cbf3cafb-p_e.jpg,False,True,False,False,False,False,False,39.740654,{'is_FSBA': True},2067.0,-104.89428,sqft,6098.4,,,499900.0,-15100,499900.0,"$15,100 (Feb 2)",,False,CO,1525 Ulster Street,,11461148000,,,80220,443920387
2.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2c7a4b4b7b958157a172b15fae98be66-p_e.jpg,False,True,False,False,False,False,False,39.71355,{'is_FSBA': True},1143.0,-105.03466,sqft,6250.0,,,485000.0,,485000.0,,,False,CO,172 S Lowell Boulevard,464000.0,2382063000,,,80219,13342356
1.0,2.0,Denver,,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a1e03af7d82452a1e93c95ae046512db-p_e.jpg,False,True,False,False,False,False,False,39.777122,{'is_FSBA': True},1356.0,-104.95506,sqft,6250.0,,,490000.0,-4900,490000.0,"$4,900 (Feb 7)",2355,False,CO,4336 Thompson Court,469800.0,2840738000,,486600,80216,13302156
2.0,4.0,Denver,1739491200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/318b5c8505498f0a17e63b2ade271533-p_e.jpg,False,True,False,False,False,False,False,39.78086,"{'is_comingSoon': True, 'is_openHouse': True}",1450.0,-104.9539,sqft,5730.0,Sat. 12-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739649600000}, {'open_house_end': 1739743200000, 'open_house_start': 1739736000000}]}",490000.0,,490000.0,,2541,False,CO,4630 Clayton Street,513300.0,311686000,,484200,80216,13301885
1.0,3.0,Denver,,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f47a940ec45f81522501ade73913e2ad-p_e.jpg,False,True,False,False,False,False,False,39.668774,{'is_FSBA': True},1891.0,-105.028625,sqft,6098.4,,,495000.0,-19000,495000.0,"$19,000 (Feb 7)",2646,False,CO,2670 S Hooker Street,500400.0,2657427000,,494000,80219,13381122
2.0,5.0,Denver,,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69f4b0b17fc9e681c41204b32bee8839-p_e.jpg,False,True,False,False,False,False,False,39.83524,{'is_FSBA': True},1700.0,-105.00576,sqft,6200.0,,,461888.0,-3312,461888.0,"$3,312 (Jan 29)",2846,False,CO,7630 Pecos Street,417000.0,6967038000,,461900,80221,12997738
2.0,2.0,Denver,,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8987efa3099b59b15776a0951125353-p_e.jpg,False,True,False,False,False,False,False,39.784367,{'is_FSBA': True},1052.0,-105.01903,sqft,6534.0,,,499900.0,-19100,499900.0,"$19,100 (Jan 29)",,False,CO,4822 Bryant Street,391500.0,5332574000,,,80221,13293030
2.0,3.0,Denver,,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/96d95d77c3fd769a377b128742dcb350-p_e.jpg,False,True,False,False,False,False,False,39.72781,{'is_FSBA': True},918.0,-105.03759,sqft,6098.4,,,489500.0,-5000,489500.0,"$5,000 (Feb 7)",,False,CO,657 Newton Street,406900.0,1175742000,,,80204,13337494
2.0,2.0,Denver,,USA,USD,1722927600000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/0b1086362566e17221b758812f323796-p_e.jpg,False,True,False,False,False,False,False,39.712425,{'is_FSBA': True},1227.0,-104.9506,,,,,465000.0,-34000,465000.0,,2679,False,CO,3100 E Cherry Creek Drive South Drive S  Unit 501,,26138156000,# S-501,446100,80209,347920697
2.0,5.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f2c893d0356e92f8de03083c8c9141d6-p_e.jpg,False,True,False,False,False,False,False,39.708817,"{'is_FSBA': True, 'is_openHouse': True}",1714.0,-105.047585,sqft,6250.0,Fri. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}]}",450000.0,,450000.0,,,False,CO,4620 W Alaska Place,458400.0,839770000,,,80219,13361137
2.0,2.0,Denver,1739836800000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/59c7121d77b1d67549be9dd39461573b-p_e.jpg,False,True,False,False,False,False,False,39.715244,{'is_comingSoon': True},846.0,-105.041214,sqft,3120.0,,,459000.0,,459000.0,,1577,False,CO,71 S Quitman Street,304500.0,62393000,,267000,80219,13340150
2.0,2.0,Denver,,USA,USD,1732953600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0623e49e2e259dec80f02e7f5f8ba6e3-p_e.jpg,False,True,False,False,False,False,False,39.72309,{'is_FSBA': True},1121.0,-105.0244,sqft,7146.0,,,459900.0,-5000,459900.0,"$5,000 (Nov 30)",,False,CO,2933 W Short Place,494500.0,22435442000,,,80204,13340549
3.0,3.0,Denver,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0adb2ed299af0455ab248285da7ae82f-p_e.jpg,False,True,False,False,False,False,False,39.794434,{'is_FSBA': True},2016.0,-104.76315,sqft,3524.0,,,490000.0,,490000.0,,,False,CO,5512 Danube Street,533300.0,1171547000,,,80249,247389871
