bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aeb355142ddb2e2d40635cf59400d5a6-p_e.jpg,False,True,False,False,False,False,False,False,40.143192,{},2201.0,-105.09566,,,2900.0,,2900.0,,2806,False,CO,1241 Hummingbird Cir,491100.0,1251685000,530100,80501,109685548
2.0,3.0,Longmont,USA,USD,1732176000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aa2b629bd5fe3f348db8ed19946cefc8-p_e.jpg,False,True,False,False,False,False,False,False,40.167973,{},1650.0,-105.20785,,,4250.0,-1000,4250.0,"$1,000 (Nov 21)",3614,False,CO,10639 N 65th St,1935100.0,7339849000,,80503,147261639
3.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/39523ba7035105bf3284183bcc3f3ac4-p_e.jpg,False,True,False,False,False,False,False,False,40.15448,{},1561.0,-104.988815,,,2475.0,,2475.0,,2120,False,CO,10576 Butte Dr,464171.0,775690000,470700,80504,61465657
3.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8582cbdf9a8ce08fdbbc5bbb10a3565f-p_e.jpg,False,True,False,False,False,False,False,False,40.181103,{},2432.0,-105.109276,,,2450.0,,2450.0,,2279,False,CO,1251 Bross St,448700.0,990816000,543900,80501,13202251
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fd9a903d72e1038999b6cfb5bf460107-p_e.jpg,False,True,False,False,False,False,False,False,40.171383,{},946.0,-105.12094,,,1850.0,,1850.0,,1882,False,CO,726 Sunset St,389000.0,920025000,420900,80501,13204361
2.0,5.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d190d87e3edbd84b83dde30c12a76141-p_e.jpg,False,True,False,False,False,False,False,False,40.173077,{},1402.0,-105.122765,,,2599.0,,2599.0,,2550,False,CO,840 Faith Ct,556700.0,3861795000,542100,80501,13204708
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d8c77d71f7241ea05491ccda1004d0b-p_e.jpg,False,True,False,False,False,False,False,False,40.174713,{},1109.0,-105.105316,sqft,4822.0,2500.0,,2500.0,,2111,False,CO,915 Terry St,375600.0,1275222000,462700,80501,13207209
1.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/66e7f40a07323d5e5ee9ee2e66ba4018-p_e.jpg,False,True,False,False,False,False,False,False,40.171238,{},1460.0,-105.118546,,,2650.0,,2650.0,,2144,False,CO,722 Vivian St,513600.0,1498359000,511400,80501,13201418
1.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0eaa6ffa1ac4ccf4c06aed565d7d3f0-p_e.jpg,False,True,False,False,False,False,False,False,40.17873,{},960.0,-105.11549,,,2095.0,,2095.0,,2058,False,CO,1135 Sherman St,395400.0,830720000,401100,80501,13204947
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6ed8887d4d6f7eb17518835e26bc7af7-p_e.jpg,False,True,False,False,False,False,False,False,40.182564,{},,-105.111565,,,2195.0,,2195.0,,2169,False,CO,1335 Venice St,392000.0,1169019000,430900,80501,13201776
