bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,4.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/59b73e329b8bec8672c1ef1ed9623cf7-p_e.jpg,True,True,False,False,False,False,False,False,39.987312,{},1788.0,-105.22388,3320.0,,3320.0,,3668,False,CO,72 Genesee Ct,840000.0,2962005000,,,775900,80303,13237962
1.0,1.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8a2356873b2cebbc547c4a40418c1003-p_e.jpg,True,True,False,False,False,False,False,False,40.027115,{},864.0,-105.2515,2250.0,,2250.0,,2158,False,CO,3260 Iron Forge Pl APT 101,515985.0,2463425000,Apt 101,,474100,80301,71347138
2.0,5.0,Boulder,USA,USD,1737532800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8459310ab81b3a9de1e50b9b43714de0-p_e.jpg,True,True,False,False,False,False,False,False,39.993416,{},1690.0,-105.2509,3500.0,-400,3500.0,$400 (Jan 22),4063,False,CO,65 S 36th St,861000.0,2660550000,,,857300,80305,13186646
3.0,7.0,Boulder,USA,USD,1738051200000,60,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aca0a1f52cc8f2adefcde2c9d1835a11-p_e.jpg,True,True,False,False,False,False,False,False,40.0034,{},1990.0,-105.2692,12075.0,-350,12075.0,$350 (Jan 28),7530,False,CO,881 19th St,,5213100000,,,1473700,80302,2095954503
2.0,3.0,Boulder,USA,USD,1736323200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e0dfada7ed647b55dbd3ca9e75c949e1-p_e.jpg,True,True,False,False,False,False,False,False,40.03369,{},1679.0,-105.271675,5500.0,500,5500.0,,3964,False,CO,1940 Grape Ave,1199100.0,7832751000,,,1078900,80304,13178622
1.0,2.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5f1d012e0eebed5a009deba52596d9f0-p_e.jpg,True,True,False,False,False,False,False,False,40.009056,{},750.0,-105.28817,3500.0,,3500.0,,3113,False,CO,1230 Jay St,,7013506000,,,864200,80302,2088238218
2.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a91c49d1aa0fe959a82458061d643598-p_e.jpg,True,True,False,False,False,False,False,False,40.00431,{},1445.0,-105.24627,3250.0,,3250.0,,3755,False,CO,920 37th St,880800.0,7111571000,,,793300,80303,13188030
3.0,4.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/311d9d5012ea20bc0d2759f3d76a2199-p_e.jpg,True,True,False,False,False,False,False,False,40.056656,{},2655.0,-105.209724,6000.0,,6000.0,,4333,False,CO,6177 Old Brompton Rd,1440800.0,7646843000,,,1463800,80301,13224295
4.0,10.0,Boulder,USA,USD,1738915200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/34523dd3a4e800aa1a36bb864f39ae46-p_e.jpg,True,True,False,False,False,False,False,False,40.013145,{},,-105.28595,14950.0,-100,14950.0,$100 (Feb 7),9532,False,CO,655 Arapahoe Ave,1986300.0,5988543000,,,2349300,80302,13180107
2.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/afb4324b6bd5b157247c9c7b07866faf-p_e.jpg,True,True,False,False,False,False,False,False,40.055447,{},1600.0,-105.17576,2900.0,,2900.0,,4486,False,CO,4444 Glencove Pl,664800.0,8621532000,,,649100,80301,13199952
3.0,3.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c39cb1092d973bfe3a63b45db061208d-p_e.jpg,True,True,False,False,False,False,False,False,40.03125,{},1947.0,-105.243355,5295.0,,5295.0,,3195,False,CO,3117 Bell Dr,650900.0,1119043000,,,693300,80301,13235560
3.0,4.0,Boulder,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4539cacc802f872ad7ca3e12b3f644fd-p_e.jpg,True,True,False,False,False,False,False,False,40.05797,{},2831.0,-105.2158,4500.0,,4500.0,,4247,False,CO,5900 Brandywine Ct,1074100.0,693951000,,,1030700,80301,13244700
4.0,4.0,Boulder,USA,USD,1733990400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/70a70a522e9ae9554751a0b38b241831-p_e.jpg,True,True,False,False,False,False,False,False,40.029247,{},3463.0,-105.32437,7500.0,-2495,7500.0,"$2,495 (Dec 12)",7146,False,CO,14 Eagles Dr,2472900.0,18589577000,,,2514500,80302,147268957
